Fichier, Temps Naif, Temps Welzl
test-1581.points, 40910, 381
test-1582.points, 37703, 489
test-1583.points, 47057, 256
test-1584.points, 46337, 199
test-1585.points, 50969, 420
test-1586.points, 48122, 276
test-1587.points, 45652, 369
test-1588.points, 35770, 642
test-1589.points, 56539, 406
test-159.points, 32672, 280
test-1590.points, 35984, 317
test-1591.points, 46170, 500
test-1592.points, 52274, 275
test-1593.points, 33402, 214
test-1594.points, 49730, 126
test-1595.points, 42400, 111
test-1596.points, 48758, 202
test-1597.points, 50372, 410
test-1598.points, 45486, 524
test-1599.points, 36511, 189
test-16.points, 50767, 342
test-160.points, 46650, 325
test-1600.points, 34443, 253
test-1601.points, 34505, 187
test-1602.points, 50653, 577
test-1603.points, 51552, 383
test-1604.points, 38283, 377
test-1605.points, 49885, 339
test-1606.points, 51405, 312
test-1607.points, 40247, 627
test-1608.points, 48234, 518
test-1609.points, 53768, 333
test-161.points, 46836, 222
test-1610.points, 47494, 264
test-1611.points, 42241, 584
test-1612.points, 51707, 270
test-1613.points, 41457, 276
test-1614.points, 45695, 339
test-1615.points, 52642, 255
test-1616.points, 41297, 262
test-1617.points, 32920, 370
test-1618.points, 52239, 495
test-1619.points, 52065, 253
test-162.points, 39915, 233
test-1620.points, 49058, 273
test-1621.points, 44241, 275
test-1622.points, 52234, 225
test-1623.points, 56606, 235
test-1624.points, 51926, 348
test-1625.points, 56248, 151
test-1626.points, 49435, 428
test-1627.points, 53374, 169
test-1628.points, 34863, 132
test-1629.points, 41907, 381
test-163.points, 32574, 406
test-1630.points, 40705, 329
test-1631.points, 51179, 348
test-1632.points, 52618, 493
test-1633.points, 51262, 288
test-1634.points, 47280, 124
test-1635.points, 34398, 181
test-1636.points, 35705, 568
test-1637.points, 39753, 348
test-1638.points, 31143, 258
test-1639.points, 51515, 328
test-164.points, 43046, 292
test-1640.points, 55288, 451
test-1641.points, 38610, 681
test-1642.points, 33948, 162
test-1643.points, 51113, 461
test-1644.points, 42681, 287
test-1645.points, 38335, 217
test-1646.points, 38259, 319
test-1647.points, 31810, 188
test-1648.points, 40457, 284
test-1649.points, 37657, 319
test-165.points, 52876, 384
test-1650.points, 33695, 190
test-1651.points, 47753, 333
test-1652.points, 41010, 473
test-1653.points, 43350, 149
test-1654.points, 59655, 99
test-1655.points, 52307, 314
test-1656.points, 50564, 189
test-1657.points, 41342, 232
test-1658.points, 42857, 329
test-1659.points, 47630, 248
test-166.points, 53483, 514
test-1660.points, 41001, 341
test-1661.points, 57919, 103
test-1662.points, 37447, 460
test-1663.points, 50623, 326
test-1664.points, 40432, 468
test-167.points, 42361, 452
test-168.points, 36730, 219
test-169.points, 53005, 397
test-17.points, 34286, 394
test-170.points, 48929, 460
test-171.points, 55435, 182
test-172.points, 30022, 304
test-173.points, 42004, 117
test-174.points, 45342, 281
test-175.points, 33141, 227
test-176.points, 41063, 284
test-177.points, 34053, 341
test-178.points, 36145, 398
test-179.points, 43362, 197
test-18.points, 52154, 287
test-180.points, 33458, 187
test-181.points, 49733, 314
test-182.points, 31349, 280
test-183.points, 33277, 274
test-184.points, 41890, 302
test-185.points, 36445, 163
test-186.points, 51482, 536
test-187.points, 45025, 507
test-188.points, 51364, 247
test-189.points, 47962, 436
test-19.points, 40834, 223
test-190.points, 47409, 478
test-191.points, 39680, 304
test-192.points, 48114, 288
test-193.points, 34906, 140
test-194.points, 44296, 271
test-195.points, 52324, 464
test-196.points, 38077, 144
test-197.points, 37614, 295
test-198.points, 45654, 266
test-199.points, 180, 179
test-2.points, 40027, 546
test-20.points, 41098, 257
test-200.points, 54685, 191
test-201.points, 41999, 334
test-202.points, 44182, 271
test-203.points, 49808, 359
test-204.points, 37760, 221
test-205.points, 34019, 366
test-206.points, 50413, 273
test-207.points, 33303, 156
test-208.points, 47647, 666
test-209.points, 49562, 331
test-21.points, 43776, 267
test-210.points, 34976, 416
test-211.points, 47283, 305
test-212.points, 53668, 290
test-213.points, 39185, 199
test-214.points, 44284, 319
test-215.points, 34008, 2035
test-216.points, 49323, 331
test-217.points, 51424, 285
test-218.points, 32464, 567
test-219.points, 51472, 612
test-22.points, 54918, 361
test-220.points, 37131, 270
test-221.points, 43074, 212
test-222.points, 49944, 268
test-223.points, 37504, 729
test-224.points, 52366, 141
test-225.points, 48452, 282
test-226.points, 40935, 234
test-227.points, 49141, 246
test-228.points, 49223, 285
test-229.points, 42397, 294
test-23.points, 45094, 334
test-230.points, 89, 272
test-231.points, 31680, 404
test-232.points, 39950, 499
test-233.points, 24, 155
test-234.points, 46295, 225
test-235.points, 49353, 264
test-236.points, 45551, 185
test-237.points, 31606, 350
test-238.points, 52416, 477
test-239.points, 53814, 319
test-24.points, 38742, 376
test-240.points, 44753, 287
test-241.points, 38709, 196
test-242.points, 31810, 313
test-243.points, 45309, 422
test-244.points, 55790, 383
test-245.points, 45428, 540
test-246.points, 49823, 202
test-247.points, 41142, 397
test-248.points, 44957, 230
test-249.points, 48286, 538
test-25.points, 45247, 306
test-250.points, 48822, 412
test-251.points, 47467, 775
test-252.points, 46741, 350
test-253.points, 50637, 220
test-254.points, 45444, 164
test-255.points, 122, 104
test-256.points, 44706, 460
test-257.points, 46012, 248
test-258.points, 45111, 616
test-259.points, 46268, 499
test-26.points, 40228, 210
test-260.points, 39604, 226
test-261.points, 46046, 608
test-262.points, 42944, 286
test-263.points, 49772, 364
test-264.points, 53614, 341
test-265.points, 52848, 502
test-266.points, 48786, 490
test-267.points, 39031, 301
test-268.points, 50122, 430
test-269.points, 34595, 217
test-27.points, 46733, 277
test-270.points, 48026, 406
test-271.points, 52236, 262
test-272.points, 34560, 369
test-273.points, 44615, 148
test-274.points, 39824, 394
test-275.points, 42840, 422
test-276.points, 37122, 342
test-277.points, 38934, 199
test-278.points, 34998, 553
test-279.points, 40845, 499
test-28.points, 57242, 301
test-280.points, 45940, 240
test-281.points, 54536, 328
test-282.points, 35630, 572
test-283.points, 39718, 413
test-284.points, 32011, 218
test-285.points, 47686, 223
test-286.points, 47778, 396
test-287.points, 37283, 177
test-288.points, 46578, 258
test-289.points, 48897, 409
test-29.points, 48921, 347
test-290.points, 42671, 146
test-291.points, 51255, 389
test-292.points, 41731, 227
test-293.points, 47894, 557
test-294.points, 57394, 274
test-295.points, 32589, 299
test-296.points, 40039, 365
test-297.points, 38025, 351
test-298.points, 37297, 484
test-299.points, 47930, 300
test-3.points, 48207, 365
test-30.points, 38449, 431
test-300.points, 35356, 274
test-301.points, 50497, 324
test-302.points, 50902, 347
test-303.points, 37647, 238
test-304.points, 43318, 248
test-305.points, 42494, 474
test-306.points, 43656, 239
test-307.points, 39901, 212
test-308.points, 53103, 237
test-309.points, 47735, 390
test-31.points, 38909, 462
test-310.points, 38372, 213
test-311.points, 55782, 422
test-312.points, 48555, 221
test-313.points, 49060, 247
test-314.points, 54664, 244
test-315.points, 43830, 412
test-316.points, 33395, 239
test-317.points, 36523, 400
test-318.points, 57530, 218
test-319.points, 39125, 319
test-32.points, 44560, 361
test-320.points, 35873, 538
test-321.points, 52088, 108
test-322.points, 55169, 360
test-323.points, 49272, 189
test-324.points, 45858, 249
test-325.points, 37819, 265
test-326.points, 47640, 328
test-327.points, 38376, 388
test-328.points, 44201, 186
test-329.points, 57215, 397
test-33.points, 43479, 311
test-330.points, 50833, 550
test-331.points, 51187, 273
test-332.points, 41360, 403
test-333.points, 38059, 279
test-334.points, 60625, 169
test-335.points, 51876, 437
test-336.points, 45487, 278
test-337.points, 35597, 584
test-338.points, 34043, 211
test-339.points, 45905, 205
test-34.points, 39124, 216
test-340.points, 45381, 160
test-341.points, 36131, 374
test-342.points, 44068, 216
test-343.points, 54064, 239
test-344.points, 37563, 223
test-345.points, 42190, 388
test-346.points, 46768, 283
test-347.points, 46231, 549
test-348.points, 46219, 207
test-349.points, 41226, 474
test-35.points, 30733, 247
test-350.points, 34791, 263
test-351.points, 43897, 302
test-352.points, 48299, 617
test-353.points, 44927, 369
test-354.points, 51505, 161
test-355.points, 34764, 360
test-356.points, 36748, 338
test-357.points, 45361, 282
test-358.points, 57098, 2164
test-359.points, 51968, 379
test-36.points, 52654, 422
test-360.points, 44216, 308
test-361.points, 51345, 429
test-362.points, 57233, 469
test-363.points, 34822, 334
test-364.points, 37051, 227
test-365.points, 36707, 400
test-366.points, 46272, 391
test-367.points, 34739, 239
test-368.points, 45775, 206
test-369.points, 45091, 273
test-37.points, 51265, 349
test-370.points, 37582, 196
test-371.points, 31594, 484
test-372.points, 51265, 278
test-373.points, 56578, 380
test-374.points, 58339, 265
test-375.points, 44141, 460
test-376.points, 48401, 296
test-377.points, 43433, 317
test-378.points, 51715, 717
test-379.points, 56277, 344
test-38.points, 51143, 1009
test-380.points, 57482, 225
test-381.points, 35994, 519
test-382.points, 39044, 266
test-383.points, 48891, 356
test-384.points, 37725, 245
test-385.points, 41822, 173
test-386.points, 51137, 157
test-387.points, 43202, 732
test-388.points, 38087, 183
test-389.points, 33525, 504
test-39.points, 49744, 98
test-390.points, 55883, 407
test-391.points, 37385, 253
test-392.points, 43821, 442
test-393.points, 46153, 305
test-394.points, 35052, 233
test-395.points, 51377, 559
test-396.points, 44355, 529
test-397.points, 40198, 206
test-398.points, 35615, 309
test-399.points, 43818, 453
test-4.points, 56179, 203
test-40.points, 56243, 295
test-400.points, 50088, 339
test-401.points, 50248, 396
test-402.points, 38128, 210
test-403.points, 36677, 529
test-404.points, 45712, 463
test-405.points, 45337, 425
test-406.points, 46352, 142
test-407.points, 44950, 108
test-408.points, 46070, 368
test-409.points, 41814, 329
test-41.points, 40517, 519
test-410.points, 38431, 358
test-411.points, 31980, 432
test-412.points, 38475, 456
test-413.points, 36656, 442
test-414.points, 51967, 365
test-415.points, 41684, 534
test-416.points, 48675, 334
test-417.points, 42438, 257
